environment,obstacleTrain,,seedTraining,seedTesting,score,success,bodyChanged
half_cheetah,none,,0,7,2716.4,15.0,"torso,big"
half_cheetah,none,,0,8,2639.81,15.0,"torso,big"
half_cheetah,none,,0,9,2709.79,15.0,"torso,big"
half_cheetah,none,,0,10,2686.97,15.0,"torso,big"
half_cheetah,none,,0,14,2570.85,14.0,"torso,big"
half_cheetah,none,,0,13,2470.73,14.0,"torso,big"
half_cheetah,none,,0,15,2747.84,15.0,"torso,big"
half_cheetah,none,,0,11,2782.61,15.0,"torso,big"
half_cheetah,none,,0,12,2772.31,15.0,"torso,big"
half_cheetah,none,,0,16,2676.5,15.0,"torso,big"
half_cheetah,none,,0,17,2532.67,14.0,"torso,big"
half_cheetah,none,,0,18,2669.0,15.0,"torso,big"
half_cheetah,none,,0,19,2771.32,15.0,"torso,big"
half_cheetah,none,,0,21,2299.9,13.0,"torso,big"
half_cheetah,none,,0,20,2722.73,15.0,"torso,big"
half_cheetah,none,,0,22,2522.0,14.0,"torso,big"
half_cheetah,none,,0,23,2785.98,15.0,"torso,big"
half_cheetah,none,,0,24,2701.07,15.0,"torso,big"
half_cheetah,none,,0,25,2773.49,15.0,"torso,big"
half_cheetah,none,,0,26,2766.46,15.0,"torso,big"
half_cheetah,none,,0,27,2675.85,15.0,"torso,big"
half_cheetah,none,,0,28,2678.13,15.0,"torso,big"
half_cheetah,none,,0,29,2718.35,15.0,"torso,big"
half_cheetah,none,,1,0,3215.2,18.0,"torso,big"
half_cheetah,none,,1,1,3050.58,17.0,"torso,big"
half_cheetah,none,,1,2,3172.72,17.0,"torso,big"
half_cheetah,none,,1,3,2230.84,12.0,"torso,big"
half_cheetah,none,,1,4,3295.01,18.0,"torso,big"
half_cheetah,none,,1,5,3323.34,18.0,"torso,big"
half_cheetah,none,,1,7,279.973,1.0,"torso,big"
half_cheetah,none,,1,6,3262.03,18.0,"torso,big"
half_cheetah,none,,1,9,2938.3,16.0,"torso,big"
half_cheetah,none,,1,8,3312.83,18.0,"torso,big"
half_cheetah,none,,1,10,3242.52,18.0,"torso,big"
half_cheetah,none,,1,11,2963.99,16.0,"torso,big"
half_cheetah,none,,1,12,3217.37,18.0,"torso,big"
half_cheetah,none,,1,14,3037.69,17.0,"torso,big"
half_cheetah,none,,1,13,873.403,4.0,"torso,big"
half_cheetah,none,,1,15,3162.18,17.0,"torso,big"
half_cheetah,none,,1,17,3162.88,17.0,"torso,big"
half_cheetah,none,,1,16,2245.88,12.0,"torso,big"
half_cheetah,none,,1,18,3166.54,17.0,"torso,big"
half_cheetah,none,,1,19,3190.48,17.0,"torso,big"
half_cheetah,none,,1,21,2826.2,16.0,"torso,big"
half_cheetah,none,,1,20,3085.35,17.0,"torso,big"
half_cheetah,none,,1,22,2055.44,11.0,"torso,big"
half_cheetah,none,,1,23,3313.6,18.0,"torso,big"
half_cheetah,none,,1,24,3222.52,18.0,"torso,big"
half_cheetah,none,,1,26,3289.43,18.0,"torso,big"
half_cheetah,none,,1,25,2882.39,16.0,"torso,big"
half_cheetah,none,,1,27,2574.59,14.0,"torso,big"
half_cheetah,none,,1,28,113.171,0.0,"torso,big"
half_cheetah,none,,1,29,3032.02,17.0,"torso,big"
half_cheetah,none,,2,0,3595.61,19.0,"torso,big"
half_cheetah,none,,2,3,3632.92,19.0,"torso,big"
half_cheetah,none,,2,1,3667.82,19.0,"torso,big"
half_cheetah,none,,2,2,3531.73,19.0,"torso,big"
half_cheetah,none,,2,4,3669.1,19.0,"torso,big"
half_cheetah,none,,2,7,3662.48,19.0,"torso,big"
half_cheetah,none,,2,9,3606.33,19.0,"torso,big"
half_cheetah,none,,2,8,3573.46,19.0,"torso,big"
half_cheetah,none,,2,6,3739.47,20.0,"torso,big"
half_cheetah,none,,2,10,3575.71,19.0,"torso,big"
half_cheetah,none,,2,5,3503.41,19.0,"torso,big"
half_cheetah,none,,2,11,3381.82,18.0,"torso,big"
half_cheetah,none,,2,12,3767.47,20.0,"torso,big"
half_cheetah,none,,2,13,3590.49,19.0,"torso,big"
half_cheetah,none,,2,14,3674.11,20.0,"torso,big"
half_cheetah,none,,2,16,3620.25,19.0,"torso,big"
half_cheetah,none,,2,15,3723.73,20.0,"torso,big"
half_cheetah,none,,2,18,3488.22,19.0,"torso,big"
half_cheetah,none,,2,17,3616.98,19.0,"torso,big"
half_cheetah,none,,2,20,3208.83,17.0,"torso,big"
half_cheetah,none,,2,19,3507.67,19.0,"torso,big"
half_cheetah,none,,2,23,3627.08,19.0,"torso,big"
half_cheetah,none,,2,22,3545.95,19.0,"torso,big"
half_cheetah,none,,2,21,3655.45,19.0,"torso,big"
half_cheetah,none,,2,25,3747.32,20.0,"torso,big"
half_cheetah,none,,2,26,3492.38,19.0,"torso,big"
half_cheetah,none,,2,24,3471.49,18.0,"torso,big"
half_cheetah,none,,2,27,3560.47,19.0,"torso,big"
half_cheetah,none,,2,28,3612.59,19.0,"torso,big"
half_cheetah,none,,2,29,3293.9,18.0,"torso,big"
half_cheetah,none,,3,0,3272.73,18.0,"torso,big"
half_cheetah,none,,3,1,3032.7,17.0,"torso,big"
half_cheetah,none,,3,2,3065.61,17.0,"torso,big"
half_cheetah,none,,3,4,2937.77,16.0,"torso,big"
half_cheetah,none,,3,3,3173.61,17.0,"torso,big"
half_cheetah,none,,3,6,2923.18,16.0,"torso,big"
half_cheetah,none,,3,5,3179.55,17.0,"torso,big"
half_cheetah,none,,3,10,3201.53,17.0,"torso,big"
half_cheetah,none,,3,8,3180.17,17.0,"torso,big"
half_cheetah,none,,3,9,2608.89,14.0,"torso,big"
half_cheetah,none,,3,7,3251.72,18.0,"torso,big"
half_cheetah,none,,3,12,3200.25,17.0,"torso,big"
half_cheetah,none,,3,11,3263.61,18.0,"torso,big"
half_cheetah,none,,3,13,3125.18,17.0,"torso,big"
half_cheetah,none,,3,15,3250.64,18.0,"torso,big"
half_cheetah,none,,3,14,3342.88,18.0,"torso,big"
half_cheetah,none,,3,16,2749.78,15.0,"torso,big"
half_cheetah,none,,3,17,2958.89,16.0,"torso,big"
half_cheetah,none,,3,18,3296.31,18.0,"torso,big"
half_cheetah,none,,3,20,2932.72,16.0,"torso,big"
half_cheetah,none,,3,19,3231.26,18.0,"torso,big"
half_cheetah,none,,3,22,3115.74,17.0,"torso,big"
half_cheetah,none,,3,21,3067.91,17.0,"torso,big"
half_cheetah,none,,3,25,3248.4,18.0,"torso,big"
half_cheetah,none,,3,23,3203.01,17.0,"torso,big"
half_cheetah,none,,3,26,3124.51,17.0,"torso,big"
half_cheetah,none,,3,24,3094.86,17.0,"torso,big"
half_cheetah,none,,3,29,2884.2,16.0,"torso,big"
half_cheetah,none,,3,28,3366.76,18.0,"torso,big"
half_cheetah,none,,4,0,2548.39,14.0,"torso,big"
half_cheetah,none,,4,1,2600.86,14.0,"torso,big"
half_cheetah,none,,3,27,3133.82,17.0,"torso,big"
half_cheetah,none,,4,2,2510.9,13.0,"torso,big"
half_cheetah,none,,4,3,2557.22,14.0,"torso,big"
half_cheetah,none,,4,4,2540.06,14.0,"torso,big"
half_cheetah,none,,4,6,2607.71,14.0,"torso,big"
half_cheetah,none,,4,5,2503.26,13.0,"torso,big"
half_cheetah,none,,4,10,2539.66,14.0,"torso,big"
half_cheetah,none,,4,9,1251.88,7.0,"torso,big"
half_cheetah,none,,4,7,2581.42,14.0,"torso,big"
half_cheetah,none,,4,11,2445.19,13.0,"torso,big"
half_cheetah,none,,4,15,2481.7,13.0,"torso,big"
