environment,obstacleTrain,obstacleTest,seedTraining,seedTesting,score,success
half_cheetah,1,0,1,1,73.5228,0.0
half_cheetah,1,0,1,2,75.555,0.0
half_cheetah,1,0,1,3,63.9717,0.0
half_cheetah,1,0,1,5,65.7443,0.0
half_cheetah,1,0,1,4,68.1574,0.0
half_cheetah,1,0,1,7,62.7061,0.0
half_cheetah,1,0,1,6,64.4289,0.0
half_cheetah,1,0,1,9,75.3201,0.0
half_cheetah,1,0,2,0,74.3272,0.0
half_cheetah,1,0,1,8,68.3669,0.0
half_cheetah,1,0,2,1,80.3034,0.0
half_cheetah,1,0,2,2,78.4952,0.0
half_cheetah,1,0,2,3,70.2425,0.0
half_cheetah,1,0,2,7,71.0786,0.0
half_cheetah,1,0,2,4,77.6372,0.0
half_cheetah,1,0,2,5,75.0741,0.0
half_cheetah,1,0,2,6,73.486,0.0
half_cheetah,1,0,2,9,82.2813,0.0
half_cheetah,1,0,2,8,79.4221,0.0
half_cheetah,1,0,3,1,77.6263,0.0
half_cheetah,1,0,3,0,70.4799,0.0
half_cheetah,1,0,3,3,69.2055,0.0
half_cheetah,1,0,3,2,89.0135,0.0
half_cheetah,1,0,3,4,76.9926,0.0
half_cheetah,1,0,3,5,70.8969,0.0
half_cheetah,1,0,3,7,66.3862,0.0
half_cheetah,1,0,3,6,62.2411,0.0
half_cheetah,1,0,3,8,73.1457,0.0
half_cheetah,1,0,3,9,80.3273,0.0
half_cheetah,1,0,4,0,62.7232,0.0
half_cheetah,1,0,4,1,76.1083,0.0
half_cheetah,1,0,4,2,81.6166,0.0
half_cheetah,1,0,4,3,72.3738,0.0
half_cheetah,1,0,4,7,71.2306,0.0
half_cheetah,1,0,4,4,73.3071,0.0
half_cheetah,1,0,4,6,75.715,0.0
half_cheetah,1,0,4,5,76.3905,0.0
half_cheetah,1,1,0,0,742.084,3.0
half_cheetah,1,0,4,9,85.6859,0.0
half_cheetah,1,0,4,8,73.3964,0.0
half_cheetah,1,1,0,1,832.809,4.0
half_cheetah,1,1,0,3,855.96,4.0
half_cheetah,1,1,0,2,842.045,4.0
half_cheetah,1,1,0,4,842.902,4.0
half_cheetah,1,1,0,5,745.225,3.0
half_cheetah,1,1,0,6,694.756,3.0
half_cheetah,1,1,0,7,855.9,4.0
half_cheetah,1,1,0,9,727.176,3.0
half_cheetah,1,1,1,0,1101.49,5.0
half_cheetah,1,1,0,8,688.084,3.0
half_cheetah,1,1,1,1,1093.8,5.0
half_cheetah,1,1,1,6,1104.46,5.0
half_cheetah,1,1,1,3,1193.68,5.0
half_cheetah,1,1,1,5,1095.76,5.0
half_cheetah,1,1,1,2,1106.27,5.0
half_cheetah,1,1,1,4,1092.12,5.0
half_cheetah,1,1,1,7,1111.28,5.0
half_cheetah,1,1,1,9,1120.32,5.0
half_cheetah,1,1,1,8,1138.2,5.0
half_cheetah,1,1,2,0,1707.64,8.0
half_cheetah,1,1,2,1,1682.53,8.0
half_cheetah,1,1,2,4,1693.36,8.0
half_cheetah,1,1,2,3,1634.46,8.0
half_cheetah,1,1,2,2,1653.03,8.0
half_cheetah,1,1,2,5,1730.03,8.0
half_cheetah,1,1,2,6,1707.1,8.0
half_cheetah,1,1,2,7,1701.68,8.0
half_cheetah,1,1,2,9,1656.64,8.0
half_cheetah,1,1,3,2,1220.34,6.0
half_cheetah,1,1,3,1,1137.22,5.0
half_cheetah,1,1,2,8,1640.25,8.0
half_cheetah,1,1,3,0,1168.93,5.0
half_cheetah,1,1,3,3,1152.63,5.0
half_cheetah,1,1,3,4,1147.85,5.0
half_cheetah,1,1,3,5,1168.46,5.0
half_cheetah,1,1,3,6,1169.97,5.0
half_cheetah,1,1,3,7,1171.29,5.0
half_cheetah,1,1,3,9,1095.48,5.0
half_cheetah,1,1,3,8,1168.68,5.0
half_cheetah,1,1,4,0,1663.7,8.0
half_cheetah,1,1,4,1,1703.3,8.0
half_cheetah,1,1,4,2,1703.22,8.0
half_cheetah,1,1,4,3,1699.78,8.0
